prev_sed
29.8
27.4
26.65
25.71
24.19
22.64
22.45
21.64
21.8
21.97
22.25
24.53
28.16
28.52
28.33
28.55
28.46
27.59
26.02
25.5
24.92
24.83
25.45
28.65
32.12
30.57
30.1
27.64
25.81
24.96
27.2
27.27
27.58
27.77
29.66
40.36
45.24
51.56
45.95
40.34
38.57
36.35
32.96
29.46
27.95
28.29
27.76
37.22
41.1
39.1
37.17
33.91
31.11
28.83
29.76
29.54
28.0
27.46
30.06
35.6
40.96
44.88
